STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,3/4/2022,93,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,3/5/2022,92,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,3/6/2022,93,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,3/7/2022,91,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,3/8/2022,,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,3/9/2022,94,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,3/10/2022,96,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,3/11/2022,,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,3/12/2022,95,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,3/13/2022,94,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,3/14/2022,,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,3/15/2022,98,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,3/16/2022,,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,3/17/2022,,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,3/18/2022,103,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,3/19/2022,103,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,3/20/2022,98,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,3/21/2022,,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,3/22/2022,101,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,3/23/2022,,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,3/24/2022,100,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,3/25/2022,100,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,3/26/2022,100,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,3/27/2022,102,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,3/28/2022,101,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,3/29/2022,102,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,3/30/2022,,,75,",,S"
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,3/31/2022,105,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,4/1/2022,105,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,4/2/2022,102,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,4/3/2022,101,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,4/4/2022,101,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,4/5/2022,101,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,4/6/2022,100,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,4/7/2022,,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,4/8/2022,102,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,4/9/2022,101,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,4/10/2022,99,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,4/11/2022,101,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,4/12/2022,101,",,S",77,",,S"
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,4/13/2022,102,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,4/14/2022,101,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,4/15/2022,103,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,4/16/2022,102,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,4/17/2022,103,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,4/18/2022,103,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,4/19/2022,105,",,S",78,",,S"
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,4/20/2022,107,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,4/21/2022,107,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,4/22/2022,104,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,4/23/2022,99,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,4/24/2022,103,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,4/25/2022,104,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,4/26/2022,104,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,4/27/2022,105,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,4/28/2022,105,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,4/29/2022,106,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,4/30/2022,107,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,5/1/2022,107,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,5/2/2022,107,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,5/3/2022,106,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,5/4/2022,103,",,S",66,",,S"
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,5/5/2022,100,",,S",75,",,S"
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,5/6/2022,104,",,S",79,",,S"
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,5/7/2022,104,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,5/8/2022,103,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,5/9/2022,104,",,S",80,",,S"
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,5/10/2022,104,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,5/11/2022,101,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,5/12/2022,92,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,5/13/2022,100,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,5/14/2022,104,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,5/15/2022,104,",,S",80,",,S"
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,5/16/2022,104,",,S",72,",,S"
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,5/17/2022,98,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,5/18/2022,98,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,5/19/2022,96,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,5/20/2022,97,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,5/21/2022,97,",,S",75,",,S"
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,5/22/2022,99,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,5/23/2022,100,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,5/24/2022,103,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,5/25/2022,103,",,S",,
